,cosine,dates,format_change,sentiment_d,date_delta
CTL,0.9830897238708938,"['2019-03-11', '2018-03-01']",0,0.0019175493198984972,-4
CF,0.9924135839467555,"['2019-02-22', '2018-02-22']",0,-0.06705536758896875,2
ECOM          ,0.9857586572782117,"['2019-02-13', '2018-02-13']",0,-0.016288735580944735,2
CRL,0.9889161473069453,"['2019-02-13', '2018-02-13']",0,0.0637597727525467,2
CLDT,0.06820339566836259,"['2019-02-25', '2018-02-27']",1,0.7753951339819718,4
CHGG,0.9777429504285162,"['2019-02-25', '2018-02-26']",0,0.018499993507620088,3
CHE,0.9985927183977464,"['2019-02-27', '2018-02-26']",0,-0.03871111065313124,1
CC,0.08373355046788,"['2019-02-15', '2018-02-16']",1,0.3218207207553244,3
CHMI,0.995023438884004,"['2019-03-18', '2018-03-16']",0,-0.09961255109746543,2
CHK,0.9848038016789187,"['2019-02-27', '2018-02-22']",0,-0.13884736296556413,-1
CHKR,0.9940845742281784,"['2019-03-22', '2018-03-21']",0,0.07253603542211459,1
CHSP,0.9943583070400734,"['2019-02-21', '2018-02-15']",0,-0.0295964026347338,-2
CPK,0.9878023031069565,"['2019-02-27', '2018-03-01']",0,0.07973941022310015,4
CVX,0.9965268745138671,"['2019-02-22', '2018-02-22']",0,0.6143259765444261,2
CHS,0.9844591341879952,"['2019-03-19', '2018-03-13']",0,-0.033525276485028385,-2
CIM,0.9922854851286768,"['2019-02-21', '2018-02-20']",0,-0.004592328385880783,1
CMG,0.9802632456515199,"['2019-02-08', '2018-02-08']",0,0.012107543681619619,2
CHH,0.986544791243959,"['2019-02-26', '2018-03-01']",0,0.14306198056085356,5
CB,0.9961100538511016,"['2019-02-28', '2018-02-23']",0,0.013486413133866561,-1
CHD,0.9947645851332731,"['2019-02-21', '2018-02-23']",0,0.007469756726340333,4
CIEN,0.9892484638934619,"['2018-12-21', '2017-12-22']",0,-0.03924433825964614,3
XEC,0.9906539986087488,"['2019-02-20', '2018-02-23']",0,0.0019534441027637475,5
CBB,0.97814825840663,"['2019-02-22', '2018-02-26']",0,0.00402162221970965,4
CNK,0.994091147222035,"['2019-02-28', '2018-02-23']",0,-0.036412046832601117,-1
CINR,0.976281113871324,"['2019-03-08', '2018-03-09']",0,-0.08974453418953342,3
CIR,0.9828712536767812,"['2019-03-01', '2018-03-01']",0,-0.027388731472982493,2
CIT,0.9919117093620023,"['2019-02-21', '2018-02-23']",0,0.06666305401583716,4
BLW,0.9961514418706531,"['2019-02-22', '2018-02-23']",0,0.0423189165640285,3
C,0.9961514418706531,"['2019-02-22', '2018-02-23']",0,0.0423189165640285,3
CFG,0.3068905097111282,"['2019-02-21', '2018-03-01']",0,0.339041052436254,8
CIA,0.9920494160083184,"['2019-03-26', '2018-03-29']",0,0.038580673674613264,5
CIO,0.9905589767326017,"['2019-02-27', '2018-03-01']",0,-0.013599109886080919,4
CVEO,0.9730305586319089,"['2019-02-27', '2018-02-23']",0,0.11941856197872355,0
CLH,0.9850468891066962,"['2019-02-27', '2018-02-28']",0,-0.0056191059561424925,3
CLW,0.9861461789633402,"['2019-03-18', '2018-02-21']",0,0.03547560631077532,-15
CLF,0.34285680527940254,"['2019-02-08', '2018-03-13']",0,-0.5940998412825983,25
CLX,0.0711328742364391,"['2019-08-14', '2018-08-14']",1,0.05984872190140612,2
CLDR,0.9692208759181976,"['2019-03-29', '2018-04-04']",0,-0.0791436299037858,6
CMS,0.9951315258045741,"['2019-02-05', '2018-02-14']",0,0.12206953708263099,9
CNA,0.9948891328115808,"['2019-02-13', '2018-02-14']",0,-0.004779930092827854,3
CNO,0.9978635433944892,"['2019-02-26', '2018-02-23']",0,-0.003645359736947784,1
CEIX,0.9860119091403775,"['2019-02-08', '2018-02-16']",0,0.05492659820508207,8
CNX,0.07640794482940112,"['2019-02-07', '2018-02-07']",1,0.39544684268090474,2
KO,0.9960565771742741,"['2019-02-21', '2018-02-23']",0,0.02014805901733053,4
CDE,0.9903311507116125,"['2019-02-20', '2018-02-07']",0,-0.02372460147687638,-7
